"Issue key","Summary","Issue Type","Status","Priority","Assignee","Reporter","Created","Updated","Description"
"REQ-1","Flight control computer shall start within 5s","Requirement","Done","High","A. Yilmaz","Demo Engineer","2024-01-02","2024-02-15","Cold start time, including built-in checks, shall not exceed five seconds." 
"REQ-2","Display health indication on primary screen","Requirement","In Progress","Medium","E. Kaya","Demo Engineer","2024-01-05","2024-02-20","The primary flight display shall render an overall system health indicator." 
"REQ-3","Compute crosscheck between dual ADC inputs","Requirement","To Do","High","","Demo Engineer","2024-01-09","2024-01-15","The FCC shall compare left/right ADC inputs and raise a discrepancy flag when the delta exceeds 3%." 
"REQ-4","Provide aural alert when autopilot disengages","Requirement","Done","High","M. Tan","Demo Engineer","2024-01-12","2024-02-10","" 
"REQ-5","Record configuration signatures to maintenance log","Requirement","In Review","Low","","Demo Engineer","2024-01-18","2024-02-22","Configuration digests shall be written to the maintenance data channel at power-on." 
"REQ-6","Support dual power supply switchover","Requirement","Done","High","Z. Demir","Demo Engineer","2024-01-24","2024-02-12","Automatic switchover between PSU-A and PSU-B shall occur within 50 ms of undervoltage detection." 
"REQ-7","Provide BIT coverage summary","Requirement","In Progress","Medium","P. Ar","Demo Engineer","2024-01-30","2024-02-18","Built-in tests shall produce a coverage summary artifact consumable by ground maintenance tools." 
"REQ-8","Expose ARINC-429 maintenance port","Requirement","Done","Medium","M. Tan","Demo Engineer","2024-02-05","2024-02-19","The unit shall expose a maintenance receive port compatible with ARINC-429 low-speed signaling." 
"REQ-9","Log reason codes for mode transitions","Requirement","To Do","Medium","","Demo Engineer","2024-02-11","2024-02-21","Each commanded mode transition shall produce a structured reason code entry." 
"REQ-10","Guarded switch status shall be debounced","Requirement","Done","Low","A. Yilmaz","Demo Engineer","2024-02-15","2024-02-25","" 
